,SAMPLEID,test_id,sample_q,sample_id,c_1,s_1,c_2,s_2,sp,cp,c_a,s_b,DATE,al,status,c_avg,s_avg,c_b,s_b,c_rsd,s_rsd
26,2146,,0.0299,,,0.128,6.892054,0.127999,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.0015,2020-04-18 12:34:05.425,÷Ï÷È,1,,,,,,
25,2147,,0.0312,,,0.5,7.984041,0.5,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.0015,2020-04-18 12:35:28.274,÷Ï÷È,1,,,,,,
24,2148,,0.0307,,,1.5,6.482831,1.5,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.0015,2020-04-18 12:36:54.610,÷Ï÷È,1,,,,,,
23,2149,,0.031,,,2.61,4.821697,2.61,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.0015,2020-04-18 12:38:26.927,÷Ï÷È,1,,,,,,
22,2150,,0.0308,,,19.68,5.896805,19.68,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.0015,2020-04-18 12:39:49.906,÷Ï÷È,1,,,,,,
21,2152,,0.0294,,,0.5,6.973713,0.497731,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.01052,2020-04-18 12:43:46.771,÷Ï÷È,1,,,,,,
20,2153,X648,0.0293,,,,7.939478,0.226597,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.01052,2020-04-18 12:46:02.802,÷Ï÷È,1,,,,,,
19,2154,X650,0.0292,,,,11.646733,0.547283,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.01052,2020-04-18 12:47:27.122,÷Ï÷È,1,,,,,,
18,2155,X651,0.0289,,,,10.238289,0.733457,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.01052,2020-04-18 12:48:51.122,÷Ï÷È,1,,,,,,
17,2156,X651,0.0301,,,,9.396605,0.786758,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.01052,2020-04-18 12:50:42.994,÷Ï÷È,1,,,,,,
16,2157,X650,0.0296,,,,9.161829,0.580504,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.01052,2020-04-18 12:52:30.066,÷Ï÷È,1,,,,,,
15,2158,,0.0305,,,1.5,3.777369,1.5,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.000866,2020-04-18 12:53:59.826,÷Ï÷È,1,,,,,,
14,2160,,0.0298,,,1.5,5.389677,1.512333,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.002512,2020-04-18 12:58:41.202,÷Ï÷È,1,,,,,,
13,2161,X646,0.0292,,,,8.911349,1.554995,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.002512,2020-04-18 13:00:55.666,÷Ï÷È,1,,,,,,
12,2162,1891,0.0293,,,,10.08653,1.754199,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.002512,2020-04-18 13:02:17.806,÷Ï÷È,1,,,,,,
11,2163,1899,0.0297,,,,7.010281,2.581801,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,-0.002512,2020-04-18 13:03:42.767,÷Ï÷È,1,,,,,,
10,2164,,0.0298,,,2.61,6.101087,2.638658,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:05:15.090,÷Ï÷È,1,,,,,,
9,2165,X647,0.029,,,,10.282739,11.134894,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:07:26.033,÷Ï÷È,1,,,,,,
8,2166,X649,0.0306,,,,9.305347,10.264044,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:08:48.977,÷Ï÷È,1,,,,,,
7,2168,X640,0.029,,,,10.674522,33.350743,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:11:51.952,÷Ï÷È,1,,,,,,
6,2169,X642,0.0296,,,,11.252979,25.975911,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:13:27.730,÷Ï÷È,1,,,,,,
5,2170,X640,0.031,,,,10.439268,31.710836,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:14:51.154,÷Ï÷È,1,,,,,,
4,2171,X640,0.0294,,,,11.673821,33.693945,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:16:29.970,÷Ï÷È,1,,,,,,
3,2172,X642,0.0303,,,,10.853672,26.000914,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:17:56.049,÷Ï÷È,1,,,,,,
2,2173,X640,0.0292,,,,11.167576,31.155516,∏ﬂ¡Ú≥ÿ,∏ﬂÃº≥ÿ,1,0.008655,2020-04-18 13:19:25.746,÷Ï÷È,1,,,,,,
